cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
140, 8, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 32, 0xffff7ffc, 1, 0x00004001, 2, 0x00008004, 0x00008005, 0x00000000, 0x00000000, 1, 0xffff7ffd, 0x00000000, 0x00000000, 0x00000000
141, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000002, 0, 0x00000000, 1, 0x00004001, 2, 0x00008004, 0x00008005, 0x00000000, 0x00000000, 2, 0xffff7ffd, 0xffff7ffc, 0x00000000, 0x00000000
142, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000001, 0, 0x00000000, 1, 0x00004001, 2, 0x00008004, 0x00008005, 0x00000000, 0x00000000, 1, 0xffff7ffc, 0x00000000, 0x00000000, 0x00000000
143, 5, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffc, 0x00000001, 0, 0x00000000, 0, 0x00008004, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffc, 0x00000000, 0x00000000, 0x00000000
144, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 0, 0x00008004, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
145, 7, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 0, 0x00008004, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
146, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 1, 0x00004002, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
147, 8, 0x06, "in x 0x20", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 32, 0xffff7ffb, 1, 0x00004002, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
148, 9, 0x07, "push block side 0x05", 1, 0, 1, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000001, 0, 0x00000000, 1, 0x00004002, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
149, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000000, 0, 0x00000000, 1, 0x00004002, 1, 0x00008005, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
150, 5, 0x03, "pull block side 0x03", 1, 1, 0, 0, 1, 0, 0x00, 0xffff7ffb, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
151, 6, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
152, 7, 0x05, "delay", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 0, 0x00008005, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
153, 7, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
154, 8, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 32, 0xffff7ffa, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffff7ffb, 0x00000000, 0x00000000, 0x00000000
155, 9, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000000, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffb, 0xffff7ffa, 0x00000000, 0x00000000
156, 10, 0x08, "jmp y-- @0x03 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffb, 0xffff7ffa, 0x00000000, 0x00000000
157, 11, 0x09, "in y 0x20 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 32, 0xffffffff, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffb, 0xffff7ffa, 0x00000000, 0x00000000
158, 12, 0x0a, "push block side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffb, 0xffff7ffa, 0xffffffff, 0x00000000
159, 13, 0x0b, "irq wait 1 side 0x00", 0, 0, 0, 1, 1, 0, 0x02, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 3, 0xffff7ffb, 0xffff7ffa, 0xffffffff, 0x00000000
160, 13, 0x0b, "irq wait 1 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffa, 0xffffffff, 0x00000000, 0x00000000
161, 14, 0x0c, "wait 0 pin 0x01 side 0x06", 0, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffa, 0xffffffff, 0x00000000, 0x00000000
162, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
163, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
164, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
165, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
166, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
167, 15, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
